point_id,cell_id,cell_type
1,1,unassigned
2,1,unassigned
3,1,unassigned
4,1,unassigned
5,1,unassigned
6,1,unassigned
7,2,unassigned
8,1,unassigned
9,3,Immune
10,1,unassigned
11,1,unassigned
12,1,unassigned
13,1,unassigned
14,1,unassigned
15,1,unassigned
16,1,unassigned
17,1,unassigned
18,1,unassigned
19,1,unassigned
20,1,unassigned
21,1,unassigned
22,1,unassigned
23,1,unassigned
24,1,unassigned
25,1,unassigned
26,1,unassigned
27,1,unassigned
28,1,unassigned
29,1,unassigned
30,1,unassigned
31,1,unassigned
32,1,unassigned
33,1,unassigned
34,1,unassigned
35,1,unassigned
36,1,unassigned
37,1,unassigned
38,1,unassigned
39,1,unassigned
40,1,unassigned
41,1,unassigned
42,1,unassigned
43,1,unassigned
44,1,unassigned
45,1,unassigned
46,1,unassigned
47,1,unassigned
48,1,unassigned
49,1,unassigned
50,1,unassigned
51,1,unassigned
52,1,unassigned
53,1,unassigned
54,1,unassigned
55,1,unassigned
56,1,unassigned
57,1,unassigned
58,1,unassigned
59,1,unassigned
60,1,unassigned
61,1,unassigned
62,1,unassigned
63,1,unassigned
64,1,unassigned
65,1,unassigned
66,1,unassigned
67,1,unassigned
68,1,unassigned
69,1,unassigned
70,1,unassigned
71,1,unassigned
72,1,unassigned
73,1,unassigned
74,1,unassigned
75,1,unassigned
76,1,unassigned
77,1,unassigned
78,1,unassigned
79,1,unassigned
80,1,unassigned
81,1,unassigned
82,1,unassigned
83,1,unassigned
84,1,unassigned
85,1,unassigned
86,1,unassigned
87,1,unassigned
88,1,unassigned
89,1,unassigned
90,1,unassigned
91,1,unassigned
92,1,unassigned
93,1,unassigned
94,1,unassigned
95,1,unassigned
96,1,unassigned
97,1,unassigned
98,1,unassigned
99,1,unassigned
100,1,unassigned
101,1,unassigned
102,1,unassigned
103,1,unassigned
104,1,unassigned
105,1,unassigned
106,1,unassigned
107,4,Astro-Epen
108,1,unassigned
109,1,unassigned
110,5,Astro-Epen
111,1,unassigned
112,5,Astro-Epen
113,1,unassigned
114,1,unassigned
115,1,unassigned
116,1,unassigned
117,1,unassigned
118,1,unassigned
119,1,unassigned
120,5,Astro-Epen
121,1,unassigned
122,1,unassigned
123,1,unassigned
124,1,unassigned
125,1,unassigned
126,1,unassigned
127,1,unassigned
128,1,unassigned
129,1,unassigned
130,1,unassigned
131,1,unassigned
132,1,unassigned
133,1,unassigned
134,1,unassigned
135,1,unassigned
136,1,unassigned
137,1,unassigned
138,1,unassigned
139,1,unassigned
140,1,unassigned
141,1,unassigned
142,1,unassigned
143,1,unassigned
144,1,unassigned
145,1,unassigned
146,1,unassigned
147,1,unassigned
148,1,unassigned
149,1,unassigned
150,1,unassigned
151,1,unassigned
152,1,unassigned
153,1,unassigned
154,1,unassigned
155,1,unassigned
156,1,unassigned
157,1,unassigned
158,1,unassigned
159,1,unassigned
160,1,unassigned
161,1,unassigned
162,1,unassigned
163,1,unassigned
164,1,unassigned
165,1,unassigned
166,1,unassigned
167,1,unassigned
168,1,unassigned
169,1,unassigned
170,1,unassigned
171,1,unassigned
172,1,unassigned
173,1,unassigned
174,1,unassigned
175,1,unassigned
176,1,unassigned
177,1,unassigned
178,1,unassigned
179,1,unassigned
180,1,unassigned
181,1,unassigned
182,1,unassigned
183,1,unassigned
184,1,unassigned
185,1,unassigned
186,1,unassigned
187,1,unassigned
188,1,unassigned
189,1,unassigned
190,1,unassigned
191,1,unassigned
192,1,unassigned
193,1,unassigned
194,1,unassigned
195,3,Immune
196,3,Immune
197,1,unassigned
198,1,unassigned
199,1,unassigned
200,1,unassigned
201,1,unassigned
202,1,unassigned
203,1,unassigned
204,1,unassigned
205,1,unassigned
206,1,unassigned
207,1,unassigned
208,1,unassigned
209,1,unassigned
210,1,unassigned
211,1,unassigned
212,1,unassigned
213,1,unassigned
214,1,unassigned
215,1,unassigned
216,1,unassigned
217,1,unassigned
218,4,Astro-Epen
219,1,unassigned
220,1,unassigned
221,1,unassigned
222,1,unassigned
223,1,unassigned
224,1,unassigned
225,1,unassigned
226,1,unassigned
227,1,unassigned
228,1,unassigned
229,1,unassigned
230,1,unassigned
231,1,unassigned
232,1,unassigned
233,1,unassigned
234,1,unassigned
235,1,unassigned
236,1,unassigned
237,1,unassigned
238,1,unassigned
239,1,unassigned
240,1,unassigned
241,1,unassigned
242,1,unassigned
243,1,unassigned
244,1,unassigned
245,1,unassigned
246,1,unassigned
247,1,unassigned
248,1,unassigned
249,1,unassigned
250,1,unassigned
251,1,unassigned
252,1,unassigned
253,1,unassigned
254,1,unassigned
255,1,unassigned
256,1,unassigned
257,1,unassigned
